"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-07-01 00:00:00",43641,0,0,1742,0,52473.57142857143,
"2019-07-02 00:00:00",35373,0,0,0,0,50309,
"2019-07-03 00:00:00",13928,4916,0,0,0,47996.28571428572,
"2019-07-04 00:00:00",71642,2963,0,0,142223,59959.57142857143,
"2019-07-05 00:00:00",55056,0,0,0,0,63720.857142857145,
"2019-07-06 00:00:00",11386,35398,0,0,0,66273.71428571429,
"2019-07-07 00:00:00",23671,4916,0,2284,0,64163.28571428572,
"2019-07-08 00:00:00",18063,0,0,2199,16587,62944.28571428572,
"2019-07-09 00:00:00",29627,23514,0,4482,0,66123,
"2019-07-10 00:00:00",25784,0,0,0,0,67114.28571428571,
"2019-07-11 00:00:00",159312,0,0,0,0,58897.42857142857,
"2019-07-12 00:00:00",32595,0,0,0,0,55688.71428571428,
"2019-07-13 00:00:00",83537,13663,0,0,37661,68271.28571428571,
"2019-07-14 00:00:00",92382,11533,0,0,0,78706.28571428571,
"2019-07-15 00:00:00",22410,0,0,5153,3064,77817.42857142857,
"2019-07-16 00:00:00",40957,0,0,0,0,75436.42857142857,
"2019-07-17 00:00:00",15459,4916,220,3762,69777,85201,
"2019-07-18 00:00:00",13827,25878,0,0,0,68114.42857142857,
"2019-07-19 00:00:00",33180,5832,0,0,11120,70619.85714285714,
"2019-07-20 00:00:00",17841,0,0,2213,124568,72014,
"2019-07-21 00:00:00",34999,30324,0,0,0,66500.71428571429,
"2019-07-22 00:00:00",0,7200,0,0,0,63153.857142857145,
"2019-07-23 00:00:00",0,0,0,0,0,57302.857142857145,
"2019-07-24 00:00:00",33944,0,0,0,0,48704,
"2019-07-25 00:00:00",117834,18905,10514,0,0,64067.857142857145,
"2019-07-26 00:00:00",22747,4916,0,0,5101,61586.71428571428,
"2019-07-27 00:00:00",0,0,0,0,10347,42404.57142857143,
"2019-07-28 00:00:00",29394,0,0,0,0,37271.857142857145,
"2019-07-29 00:00:00",0,29379,0,5822,93033,54562.71428571428,
"2019-07-30 00:00:00",110896,20029,2603,0,0,73638.14285714286,
"2019-07-31 00:00:00",16801,0,0,0,12927,73036,
"2019-08-01 00:00:00",84364,0,0,1535,0,64271.142857142855,
"2019-08-02 00:00:00",12030,4345,0,2680,0,62312.71428571428,
"2019-08-03 00:00:00",35144,10682,0,4749,0,68059.71428571429,
"2019-08-04 00:00:00",3735,0,0,1024,5804,65369.71428571428,
"2019-08-05 00:00:00",0,25408,0,2907,0,51095.28571428572,
"2019-08-06 00:00:00",79199,0,0,0,0,43334,
"2019-08-07 00:00:00",16038,4345,0,4489,0,42640.28571428572,
"2019-08-08 00:00:00",107974,0,0,0,0,45793.857142857145,
"2019-08-09 00:00:00",44016,28497,0,0,1210,53603.71428571428,
"2019-08-10 00:00:00",18595,0,0,0,13249,50927.71428571428,
"2019-08-11 00:00:00",17944,4916,0,0,2683,53067.71428571428,
"2019-08-12 00:00:00",0,11824,0,582,0,50795,
"2019-08-13 00:00:00",99158,24063,0,0,0,57083.857142857145,
"2019-08-14 00:00:00",17999,0,0,0,139234,75992.57142857143,
"2019-08-15 00:00:00",73041,0,0,1535,0,71221.42857142857,
"2019-08-16 00:00:00",84723,16844,0,0,0,75198.85714285714,
"2019-08-17 00:00:00",0,0,0,0,0,70649.71428571429,
"2019-08-18 00:00:00",31087,0,0,1016,0,71586.71428571429,
"2019-08-19 00:00:00",40843,0,0,4647,0,76313,
"2019-08-20 00:00:00",54358,4345,0,0,0,67096.14285714286,
"2019-08-21 00:00:00",22857,0,0,0,0,47899.42857142857,
"2019-08-22 00:00:00",39553,33779,0,0,5647,48528.57142857143,
"2019-08-23 00:00:00",42268,0,0,0,0,40057.28571428572,
"2019-08-24 00:00:00",110451,25408,2603,0,0,59837.71428571428,
"2019-08-25 00:00:00",0,4630,4031,0,0,56489,
"2019-08-26 00:00:00",38064,0,2603,512,0,55873.142857142855,
"2019-08-27 00:00:00",17993,0,0,0,0,50057.42857142857,
"2019-08-28 00:00:00",22439,0,0,0,0,49997.71428571428,
"2019-08-29 00:00:00",43325,11533,0,0,7117,47568.57142857143,
"2019-08-30 00:00:00",42426,5512,0,0,0,48378.57142857143,
"2019-08-31 00:00:00",15662,25408,0,557,125659,52496.28571428572,
"2019-09-01 00:00:00",0,0,0,6670,0,52211.71428571428,
"2019-09-02 00:00:00",97687,11533,0,4885,0,62629.71428571428,
"2019-09-03 00:00:00",44561,0,5026,0,0,67143.14285714286,
"2019-09-04 00:00:00",0,0,0,1180,13503,66035.14285714286,
"2019-09-05 00:00:00",117317,0,0,0,0,73941,
"2019-09-06 00:00:00",52995,33370,0,0,0,79430.57142857143,
"2019-09-07 00:00:00",47436,26439,0,3271,0,66553.28571428571,
"2019-09-08 00:00:00",81156,0,0,0,0,77194.14285714286,
"2019-09-09 00:00:00",29922,4630,1261,2324,0,66341.85714285714,
"2019-09-10 00:00:00",34242,25408,0,0,10693,69307.14285714286,
"2019-09-11 00:00:00",33551,0,0,0,0,72002.57142857143,
"2019-09-12 00:00:00",73339,0,0,2043,0,66011.85714285714,
"2019-09-13 00:00:00",8504,4916,0,0,0,55591.142857142855,
"2019-09-14 00:00:00",74666,0,0,2428,0,55583.71428571428,
"2019-09-15 00:00:00",0,30438,0,3485,47371,55603.71428571428,
"2019-09-16 00:00:00",32006,4630,0,582,2493,55828.57142857143,
"2019-09-17 00:00:00",74797,6926,0,0,0,57454.142857142855,
"2019-09-18 00:00:00",0,0,0,0,0,52661.142857142855,
"2019-09-19 00:00:00",91225,25408,0,0,0,58554.142857142855,
"2019-09-20 00:00:00",0,16740,0,0,12603,60828.857142857145,
"2019-09-21 00:00:00",22174,0,17200,3221,42007,61901.71428571428,
"2019-09-22 00:00:00",28839,0,0,0,0,54407.857142857145,
"2019-09-23 00:00:00",54983,0,0,2324,0,56921.28571428572,
"2019-09-24 00:00:00",70637,11824,0,0,0,57026.71428571428,
"2019-09-25 00:00:00",30045,0,12486,0,17720,65634.14285714286,
"2019-09-26 00:00:00",38210,23514,0,4174,0,58386.42857142857,
"2019-09-27 00:00:00",50515,0,0,0,2236,61730.42857142857,
"2019-09-28 00:00:00",3155,0,0,8933,41586,57312,
"2019-09-29 00:00:00",44079,3292,0,2555,0,60324.42857142857,
"2019-09-30 00:00:00",117948,0,0,5052,6992,70708,
"2019-10-01 00:00:00",73694,4916,0,0,10347,71636.14285714286,
"2019-10-02 00:00:00",74681,0,0,0,38394,79182.28571428571,
"2019-10-03 00:00:00",51514,0,0,3833,0,77674.85714285714,
"2019-10-04 00:00:00",101419,4916,0,0,0,85329.85714285714,
"2019-10-05 00:00:00",0,23514,4107,2296,0,81936,
"2019-10-06 00:00:00",22236,0,0,0,13312,79882.14285714286,
"2019-10-07 00:00:00",58829,0,0,2324,0,70048.14285714286,
"2019-10-08 00:00:00",51465,33429,0,0,0,69467.71428571429,
"2019-10-09 00:00:00",19824,25186,0,0,52406,67230.71428571429,
"2019-10-10 00:00:00",12670,0,0,0,0,61134,
"2019-10-11 00:00:00",67816,4916,0,0,55588,64274.71428571428,
"2019-10-12 00:00:00",74368,0,0,1227,37751,76193,
"2019-10-13 00:00:00",14602,0,0,1814,6217,74348,
"2019-10-14 00:00:00",21683,82,0,0,0,68721,
"2019-10-15 00:00:00",46531,5201,0,0,17256,66448.71428571429,
"2019-10-16 00:00:00",43736,23103,0,2199,0,62394.857142857145,
"2019-10-17 00:00:00",50956,0,0,0,43210,74037.28571428571,
"2019-10-18 00:00:00",149409,33579,0,0,0,81847,
"2019-10-19 00:00:00",24420,4916,0,0,3704,70374.71428571429,
"2019-10-20 00:00:00",0,0,0,0,10347,68619.42857142857,
"2019-10-21 00:00:00",15430,0,0,1721,8226,69135.71428571429,
"2019-10-22 00:00:00",17033,0,0,0,577,61795.857142857145,
"2019-10-23 00:00:00",34042,6025,0,0,2682,58040.28571428572,
"2019-10-24 00:00:00",154038,0,0,3269,0,67060.28571428571,
"2019-10-25 00:00:00",0,23103,0,0,13282,46116.857142857145,
"2019-10-26 00:00:00",72101,4916,0,0,0,52399.28571428572,
