date,postcode,fuel,pc_median,st_median,spread,n_stations
2026-05-31,3081,diesel,215.7,221.3,-5.6,2
2026-05-31,3082,ulp91,177.9,179.9,-2.0,5
2026-05-31,3082,ulp95,196.1,196.9,-0.8,5
2026-05-31,3082,diesel,223.3,221.3,2.0,5
2026-05-31,3083,ulp91,169.9,179.9,-10.0,5
2026-05-31,3083,ulp95,184.7,196.9,-12.2,5
2026-05-31,3083,diesel,209.2,221.3,-12.1,5
2026-05-31,3084,ulp91,183.8,179.9,3.9,2
2026-05-31,3084,ulp95,195.2,196.9,-1.7,2
2026-05-31,3084,diesel,219.5,221.3,-1.8,2
2026-05-31,3085,ulp91,179.9,179.9,0.0,1
2026-05-31,3085,ulp95,196.9,196.9,0.0,1
2026-05-31,3087,ulp91,177.9,179.9,-2.0,1
2026-05-31,3087,ulp95,194.9,196.9,-2.0,1
2026-05-31,3088,ulp91,178.0,179.9,-1.9,2
2026-05-31,3088,ulp95,194.9,196.9,-2.0,2
2026-05-31,3088,diesel,220.1,221.3,-1.2,2
2026-05-31,3089,ulp91,179.9,179.9,0.0,3
2026-05-31,3089,ulp95,197.4,196.9,0.5,3
2026-05-31,3089,diesel,223.9,221.3,2.6,3
2026-05-31,3090,ulp91,179.9,179.9,0.0,1
2026-05-31,3090,ulp95,195.9,196.9,-1.0,1
2026-05-31,3090,diesel,225.9,221.3,4.6,1
2026-05-31,3094,ulp91,184.6,179.9,4.7,2
2026-05-31,3094,ulp95,195.3,196.9,-1.6,2
2026-05-31,3094,diesel,219.3,221.3,-2.0,2
2026-05-31,3095,ulp91,181.9,179.9,2.0,7
2026-05-31,3095,ulp95,197.9,196.9,1.0,7
2026-05-31,3095,diesel,220.1,221.3,-1.2,7
2026-05-31,3101,ulp91,180.3,179.9,0.4,4
2026-05-31,3101,ulp95,193.9,196.9,-3.0,4
2026-05-31,3101,diesel,219.5,221.3,-1.8,4
2026-05-31,3102,ulp91,177.7,179.9,-2.2,1
2026-05-31,3102,ulp95,189.7,196.9,-7.2,1
2026-05-31,3103,ulp91,183.7,179.9,3.8,3
2026-05-31,3103,ulp95,201.2,196.9,4.3,3
2026-05-31,3103,diesel,222.9,221.3,1.6,3
2026-05-31,3105,ulp91,177.9,179.9,-2.0,3
2026-05-31,3105,ulp95,197.7,196.9,0.8,3
2026-05-31,3105,diesel,217.0,221.3,-4.3,3
2026-05-31,3106,ulp91,178.8,179.9,-1.1,2
2026-05-31,3106,ulp95,195.2,196.9,-1.7,2
2026-05-31,3106,diesel,221.1,221.3,-0.2,2
2026-05-31,3107,ulp91,183.7,179.9,3.8,3
2026-05-31,3107,ulp95,200.9,196.9,4.0,3
2026-05-31,3107,diesel,223.3,221.3,2.0,3
2026-05-31,3108,ulp91,177.7,179.9,-2.2,2
2026-05-31,3108,ulp95,195.2,196.9,-1.7,2
2026-05-31,3108,diesel,218.7,221.3,-2.6,2
2026-05-31,3109,ulp91,177.7,179.9,-2.2,5
2026-05-31,3109,ulp95,194.6,196.9,-2.3,5
2026-05-31,3109,diesel,219.5,221.3,-1.8,5
2026-05-31,3111,ulp91,179.9,179.9,0.0,1
2026-05-31,3111,ulp95,196.9,196.9,0.0,1
2026-05-31,3114,ulp91,177.7,179.9,-2.2,1
2026-05-31,3114,ulp95,193.7,196.9,-3.2,1
2026-05-31,3114,diesel,219.7,221.3,-1.6,1
2026-05-31,3115,ulp91,199.9,179.9,20.0,1
2026-05-31,3115,diesel,269.9,221.3,48.6,1
2026-05-31,3116,ulp91,184.9,179.9,5.0,4
2026-05-31,3116,ulp95,202.4,196.9,5.5,4
2026-05-31,3116,diesel,223.4,221.3,2.1,4
2026-05-31,3121,ulp91,177.7,179.9,-2.2,5
2026-05-31,3121,ulp95,189.7,196.9,-7.2,5
2026-05-31,3121,diesel,224.7,221.3,3.4,5
2026-05-31,3122,ulp91,185.9,179.9,6.0,5
2026-05-31,3122,ulp95,202.7,196.9,5.8,5
2026-05-31,3122,diesel,239.9,221.3,18.6,5
2026-05-31,3123,ulp91,187.9,179.9,8.0,3
2026-05-31,3123,ulp95,204.9,196.9,8.0,3
2026-05-31,3124,ulp91,177.9,179.9,-2.0,3
2026-05-31,3124,ulp95,193.9,196.9,-3.0,3
2026-05-31,3125,ulp91,177.3,179.9,-2.6,4
2026-05-31,3125,ulp95,189.7,196.9,-7.2,4
2026-05-31,3125,diesel,214.8,221.3,-6.5,4
2026-05-31,3127,ulp91,181.8,179.9,1.9,2
2026-05-31,3127,ulp95,202.9,196.9,6.0,2
2026-05-31,3127,diesel,219.5,221.3,-1.8,2
2026-05-31,3128,ulp91,177.3,179.9,-2.6,2
2026-05-31,3128,ulp95,190.3,196.9,-6.6,2
2026-05-31,3128,diesel,217.9,221.3,-3.4,2
2026-05-31,3130,ulp91,184.8,179.9,4.9,6
