postcode,suburb_name,zone,petrol_vehicles,diesel_vehicles,total_vehicles,ev_penetration_pct,diesel_fraction_pct,fleet_type,forecast_date,week_end,run_date,ulp91_current_cpl,ulp91_forecast_cpl,ulp91_change_cpl,ulp91_spread_cpl,ulp91_spread_source,ulp95_current_cpl,ulp95_forecast_cpl,ulp95_change_cpl,ulp95_spread_cpl,ulp95_spread_source,diesel_current_cpl,diesel_forecast_cpl,diesel_change_cpl,diesel_spread_cpl,diesel_spread_source
3028,Hoppers Crossing,inner_metro,16909,4514,21812,1.1,21.1,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,195.8,188.8,-7.0,-0.1,live,255.0,259.9,4.9,1.5,live
3108,Deepdene,inner_metro,16618,3339,20840,4.0,16.7,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,192.2,185.2,-7.0,-3.7,live,254.0,258.9,4.9,0.5,live
3044,Glenroy,inner_metro,16476,3149,20084,1.8,16.0,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.0,172.0,-9.0,0.1,live,193.9,186.9,-7.0,-2.0,live,253.0,257.9,4.9,-0.5,live
3032,Essendon,inner_metro,16458,2933,20024,2.8,15.1,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,179.1,170.1,-9.0,-1.8,live,191.9,184.9,-7.0,-4.0,live,247.0,251.9,4.9,-6.5,live
3088,Montmorency,inner_metro,16245,4431,21205,2.0,21.4,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.0,172.0,-9.0,0.1,live,196.9,189.9,-7.0,1.0,live,255.0,259.9,4.9,1.5,live
3084,Greensborough,inner_metro,15886,3090,19610,2.9,16.3,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.0,172.0,-9.0,0.1,live,197.2,190.2,-7.0,1.3,live,255.0,259.9,4.9,1.5,live
3040,Pascoe Vale South,inner_metro,15864,3426,19810,2.3,17.8,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,197.9,190.9,-7.0,2.0,zone_model,255.5,260.4,4.9,2.0,zone_model
3752,Mernda,regional_vic,15792,4156,20324,1.4,20.8,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,197.2,190.2,-7.0,1.3,live,255.0,259.9,4.9,1.5,live
3192,Cheltenham,inner_metro,15670,4244,20463,2.2,21.3,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,178.3,169.3,-9.0,-2.6,live,193.2,186.2,-7.0,-2.7,live,254.0,258.9,4.9,0.5,live
3196,Aspendale,inner_metro,15628,4002,20062,1.7,20.4,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,196.7,189.7,-7.0,0.8,live,253.0,257.9,4.9,-0.5,live
3166,Oakleigh,inner_metro,15532,3378,19483,2.4,17.9,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,192.2,185.2,-7.0,-3.7,live,252.0,256.9,4.9,-1.5,live
3000,Melbourne CBD,inner_metro,15408,7004,24172,7.1,31.3,mixed,2026-05-08,2026-05-14,2026-05-03,182.9,173.9,-9.0,2.0,zone_model,197.9,190.9,-7.0,2.0,zone_model,255.5,260.4,4.9,2.0,zone_model
3153,Bayswater North,inner_metro,15392,7512,23403,1.2,32.8,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,196.7,189.7,-7.0,0.8,live,255.9,260.8,4.9,2.4,live
3809,Guys Hill,regional_vic,15205,4172,19902,2.1,21.5,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,193.9,186.9,-7.0,-2.0,live,252.0,256.9,4.9,-1.5,live
3976,Cranbourne South,regional_vic,15174,3158,18586,0.7,17.2,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,197.4,190.4,-7.0,1.5,live,253.4,258.3,4.9,-0.1,live
3059,Coburg North,inner_metro,15092,4624,20166,1.8,23.5,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,178.1,169.1,-9.0,-2.8,live,192.9,185.9,-7.0,-3.0,live,250.6,255.5,4.9,-2.9,live
3201,Carrum Downs,inner_metro,15068,6957,22403,0.8,31.6,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,195.9,188.9,-7.0,0.0,live,251.3,256.2,4.9,-2.2,live
3802,Endeavour Hills,regional_vic,15049,3294,18715,1.4,18.0,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.0,171.0,-9.0,-0.9,live,197.2,190.2,-7.0,1.3,live,249.0,253.9,4.9,-4.5,live
3155,Ferntree Gully,inner_metro,14855,3766,19011,1.5,20.2,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,197.9,190.9,-7.0,2.0,zone_model,253.0,257.9,4.9,-0.5,live
3186,Brighton,inner_metro,14839,3496,19172,4.2,19.1,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,185.6,176.6,-9.0,4.7,live,197.9,190.9,-7.0,2.0,zone_model,255.5,260.4,4.9,2.0,zone_model
3207,Port Melbourne,inner_metro,14715,7838,23521,3.8,34.8,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,195.9,188.9,-7.0,0.0,live,249.0,253.9,4.9,-4.5,live
3172,Springvale South,inner_metro,14713,3295,18359,1.5,18.3,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,194.6,187.6,-7.0,-1.3,live,254.0,258.9,4.9,0.5,live
3074,Reservoir,inner_metro,14685,6363,21391,0.8,30.2,mixed,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,188.8,181.8,-7.0,-7.1,live,253.0,257.9,4.9,-0.5,live
3131,Mitcham,inner_metro,14659,3391,19021,4.7,18.8,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,196.7,189.7,-7.0,0.8,live,255.0,259.9,4.9,1.5,live
3825,Moe,regional_vic,14540,7061,21876,0.4,32.7,mixed,2026-05-08,2026-05-14,2026-05-03,174.1,165.1,-9.0,-6.8,live,194.9,187.9,-7.0,-1.0,live,243.0,247.9,4.9,-10.5,live
3228,Torquay,middle_metro,14469,7611,22680,2.2,34.5,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,197.2,190.2,-7.0,1.3,live,250.0,254.9,4.9,-3.5,live
3214,Norlane,middle_metro,14316,4436,19008,0.3,23.7,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.0,172.0,-9.0,0.1,live,195.4,188.4,-7.0,-0.5,live,254.0,258.9,4.9,0.5,live
3146,Glen Iris,inner_metro,14266,2761,17797,4.1,16.2,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,186.7,179.7,-7.0,-9.2,live,255.5,260.4,4.9,2.0,zone_model
3910,Langwarrin,regional_vic,14231,5624,20206,1.1,28.3,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,196.9,189.9,-7.0,1.0,live,255.0,259.9,4.9,1.5,live
3171,Springvale,inner_metro,14153,3025,17598,1.9,17.6,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.4,171.4,-9.0,-0.5,live,195.8,188.8,-7.0,-0.1,live,251.9,256.8,4.9,-1.6,live
3820,Warragul,regional_vic,14024,7170,21532,1.0,33.8,mixed,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,197.1,190.1,-7.0,1.2,live,253.4,258.3,4.9,-0.1,live
3133,Ringwood East,inner_metro,14018,2982,17632,3.2,17.5,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,194.9,187.9,-7.0,-1.0,live,252.0,256.9,4.9,-1.5,live
3138,Lilydale,inner_metro,13696,3942,17933,1.1,22.3,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,192.2,185.2,-7.0,-3.7,live,250.0,254.9,4.9,-3.5,live
3555,Kangaroo Flat,regional_vic,13690,5308,19245,0.5,27.9,mixed,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,196.9,189.9,-7.0,1.0,live,258.5,263.4,4.9,5.0,live
3101,Kew,inner_metro,13665,2957,17515,4.9,17.8,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,178.3,169.3,-9.0,-2.6,live,190.5,183.5,-7.0,-5.4,live,255.0,259.9,4.9,1.5,live
3075,Thomastown,inner_metro,13544,2667,16464,0.8,16.5,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,182.9,173.9,-9.0,2.0,zone_model,197.9,190.9,-7.0,2.0,zone_model,255.5,260.4,4.9,2.0,zone_model
3212,Lara,middle_metro,13508,6004,19924,1.0,30.8,mixed,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,191.4,184.4,-7.0,-4.5,live,251.0,255.9,4.9,-2.5,live
3056,Brunswick East,inner_metro,13501,4526,18540,2.4,25.1,mixed,2026-05-08,2026-05-14,2026-05-03,191.1,182.1,-9.0,10.2,live,197.9,190.9,-7.0,2.0,zone_model,239.0,243.9,4.9,-14.5,live
3168,Clayton,inner_metro,13434,5187,19156,2.3,27.9,mixed,2026-05-08,2026-05-14,2026-05-03,180.5,171.5,-9.0,-0.4,live,192.9,185.9,-7.0,-3.0,live,258.0,262.9,4.9,4.5,live
3875,Bairnsdale,regional_vic,13265,10297,23833,0.6,43.7,diesel_heavy,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,199.9,192.9,-7.0,4.0,live,253.0,257.9,4.9,-0.5,live
